Wall time,Step,Value
1719223434.600196,5,11.419621467590332
1719545389.9193685,2,8.197254180908203
1719640503.4395947,3,7.791028022766113
1719648290.3137584,5,7.871899604797363
1719648352.1255448,7,7.613947868347168
1719648430.112132,10,6.121169567108154
1719648569.0635056,18,4.208034038543701
1719648599.8454547,21,3.942535161972046
1719648859.5614276,36,3.4488790035247803
1719648911.4794304,39,3.246354818344116
1719649187.6882124,59,2.72695255279541
1719649381.5886009,67,2.607543706893921
1719649463.1175237,70,2.4612255096435547
1719649490.852942,71,2.786348819732666
1719926056.200445,7,6.998452186584473
1719926275.134139,20,5.353757858276367
1719926389.9913692,31,3.901129961013794
1719926431.3789437,36,4.213589668273926
1719926457.2108645,39,4.534509181976318
1719926539.1664257,48,4.2095561027526855
1719926651.074855,59,3.380009174346924
1719926730.6214736,64,2.97936749458313
1719926750.1145627,66,2.723818778991699
1719926774.1562326,67,2.753520965576172
1719926814.7989397,71,2.410734176635742
1719926886.0286906,79,2.4762401580810547
1719926954.6284976,87,2.4504218101501465
1719926963.5989313,88,2.727712631225586
1719927006.3286185,93,2.1165213584899902
1719927099.485447,104,2.2458889484405518
1719927150.122107,110,1.8605256080627441
1719927193.1793606,115,1.9438515901565552
1719927319.4497502,130,2.0114269256591797
1719927368.687587,136,1.8721954822540283
1719927410.6803613,141,2.1261608600616455
1719927470.9700637,148,2.0403385162353516
1719927506.7844322,152,1.7682135105133057
1719927522.1733224,154,1.912695288658142
1719927679.507141,173,1.8784130811691284
1719927722.0345407,178,2.0034074783325195
1719927771.8976774,184,1.8834484815597534
1719927814.7174027,189,1.710667371749878
1719927831.0042026,191,1.8293768167495728
1719927899.0044725,199,1.8992359638214111
1719927907.573898,200,1.9088420867919922
1719928003.435571,211,1.7035795450210571
1719928078.9530816,220,1.7754042148590088
1719928146.464614,228,1.848931074142456
1719928283.1950626,244,1.728905200958252
1719928316.389739,248,1.7152011394500732
1719928399.0623703,258,1.5826191902160645
1719928774.2198138,302,1.6541283130645752
1719928782.2029781,303,1.62077796459198
1719928925.4407833,320,1.5568639039993286
1719928942.474766,322,1.775274395942688
1719928950.9240074,323,1.9695667028427124
1719928975.715412,326,1.568363904953003
1719929026.6028602,332,1.519635558128357
1719929100.5487232,341,1.6076931953430176
1719929127.5664113,344,1.7409172058105469
1719929136.5388274,345,1.6819789409637451
1719929221.1295953,355,1.4410406351089478
1719929363.4547396,372,1.646630048751831
1719929380.935057,374,1.6329644918441772
1719929541.7832303,393,1.8194607496261597
1719929558.0485585,395,1.6131012439727783
1719929582.5255392,398,1.56898033618927
1719929651.7739663,406,1.5622526407241821
1719929701.4426286,412,1.610574722290039
1719929718.1221898,414,1.7336535453796387
1719929743.0057013,417,1.7404526472091675
1719929791.2523339,423,1.684948444366455
1719929834.003037,428,1.4756619930267334
1719929920.743503,438,1.7089201211929321
1719929969.2283764,444,1.6438686847686768
1719930017.013842,450,1.582579493522644
1719930048.8195562,454,1.6444116830825806
1719930101.1031637,460,1.625555157661438
1719930118.9216607,462,1.5199134349822998
1719930145.3800733,465,1.637558937072754
1719930161.165706,467,1.57746160030365
1719930169.5119722,468,1.7497615814208984
1719930210.3273277,473,1.4887466430664062
1719930218.3286424,474,1.6478650569915771
1719930290.85094,483,1.6758958101272583
1719930443.3901343,501,1.5605522394180298
1719930459.9410741,503,1.7142257690429688
1719930561.1701248,515,1.3547776937484741
1719930621.7634983,522,1.6251335144042969
1719930629.985634,523,1.4517929553985596
1719930646.383163,525,1.3928728103637695
1719930671.6056125,528,1.5715734958648682
1719930687.7827024,530,1.5014503002166748
1719930786.5351703,542,1.3788291215896606
1719930813.0341096,545,1.4796910285949707
1719930847.8788164,549,1.6946065425872803
1719930873.2227883,552,1.35011887550354
1719930897.673828,555,1.3665127754211426
1719930930.5755944,559,1.2732629776000977
1719930938.9804268,560,1.3627972602844238
1719930971.971197,564,1.530016303062439
1719931013.2616131,569,1.3122295141220093
1719931230.1984773,595,1.368895173072815
1719931263.7426965,599,1.6262011528015137
1719931641.289148,603,1.261623501777649
1719931649.8859694,604,1.4683295488357544
1719931707.3739843,611,1.3933641910552979
1719931784.1508248,620,1.5379698276519775
1719931819.2352507,624,1.2287061214447021
1719931852.5302556,628,1.0535246133804321
1719931893.802704,633,1.4629727602005005
1719931926.9547231,637,1.2626402378082275
1719932002.0394309,646,1.364851951599121
1719932037.7792199,650,1.3178985118865967
1719932046.719268,651,1.401978611946106
1719932055.2212443,652,1.28067946434021
1719932071.8174965,654,1.2467585802078247
1719932079.95236,655,1.3248425722122192
1719932128.8714125,661,1.2532678842544556
1719932169.1413438,666,1.2548749446868896
1719932185.9562693,668,1.6790695190429688
1719932229.4570975,673,1.5190435647964478
1719932238.2653787,674,1.2820836305618286
1719932246.696573,675,1.400803804397583
1719932280.590965,679,1.4188059568405151
1719932314.363425,683,1.5482373237609863
1719932355.8351998,688,1.4967930316925049
1719932364.0015533,689,1.3293168544769287
1719932371.8445828,690,1.2770051956176758
1719932564.9146411,713,1.1960513591766357
1719932597.689167,717,1.5687367916107178
1719932613.8693798,719,1.3880175352096558
1719932654.9340463,724,1.385378360748291
1719932869.847471,750,1.2728627920150757
1719932909.6304266,755,1.334555745124817
1719932925.5421262,757,1.5619091987609863
1719932978.8985512,763,1.2319682836532593
1719933046.074558,771,1.5126479864120483
1719933095.9696627,777,1.4346140623092651
1719933129.183382,781,1.329690933227539
1719933187.3944378,788,1.3305186033248901
1719933205.4686503,790,1.4551968574523926
1719933256.2859507,796,1.216968059539795
1719933272.5588076,798,1.3058476448059082
1719933385.0993652,812,1.3165626525878906
1719933392.9019701,813,1.4417672157287598
1719933417.69712,816,1.278066873550415
1719933479.1211035,823,1.2936540842056274
1719933505.4892414,826,1.3962372541427612
1719933578.8979025,835,1.256481647491455
1719933611.1156306,839,1.264849066734314
1719933635.450405,842,1.4858590364456177
1719933643.1769116,843,1.3346190452575684
1719933722.8301399,852,1.1510295867919922
1719933732.123155,853,1.3016847372055054
1719933765.965711,857,1.2446261644363403
1719933783.3362083,859,1.3279991149902344
1719933791.2514024,860,1.3053709268569946
1719933833.1468787,865,1.381614327430725
1719933936.1913738,877,1.3753784894943237
1719933969.214794,881,1.276655912399292
1719933986.791528,883,1.4916961193084717
1719934011.279106,886,1.2995656728744507
1719934084.1316874,895,1.3079109191894531
1719934108.2079008,898,1.5170658826828003
1719934177.8240032,906,1.5597434043884277
1719934278.5981266,918,1.2668346166610718
1719934336.3081288,925,1.3509563207626343
1719934449.360207,938,1.1729683876037598
1719934499.1902802,944,1.3837957382202148
1719934524.5000114,947,1.3630096912384033
1719934540.1232374,949,1.2529232501983643
1719934571.8873553,953,1.2119979858398438
1719934603.7992802,957,1.241355299949646
1719934620.2275903,959,1.208663821220398
1719934663.471308,964,1.6003395318984985
1719934671.9624715,965,1.081358790397644
1719934748.5973487,974,1.4339832067489624
1719934798.4276078,980,1.3066298961639404
1719934830.7517147,984,1.2421681880950928
1719934838.9052308,985,1.4231785535812378
1719934923.5718925,995,1.3410179615020752
1719934965.4128997,1000,1.0986837148666382
1719935081.9152668,1014,1.44797682762146
1719935270.1306555,1036,1.1688257455825806
1719935278.5729425,1037,1.2103501558303833
1719935311.4884863,1041,1.3623442649841309
1719935319.7126732,1042,1.320207118988037
1719935327.6916976,1043,1.3818421363830566
1719935483.0643435,1061,1.1235859394073486
1719935582.0837717,1073,1.330005168914795
1719935591.0034394,1074,1.3586479425430298
1719935642.6914513,1080,1.2827976942062378
1719935659.8758733,1082,1.282082438468933
1719935703.042302,1087,1.203065276145935
1719935923.697171,1113,1.0575666427612305
1719935939.9817324,1115,1.1156820058822632
1719936022.5205314,1125,1.0941730737686157
1719936117.5237632,1136,1.0359481573104858
1719936143.2335484,1139,1.3906410932540894
1719936167.5890975,1142,1.1332075595855713
1719936337.5934708,1162,1.235985279083252
1719936389.5785186,1168,1.2081332206726074
1719936446.4188936,1175,1.2480525970458984
1719936493.150611,1181,1.066390037536621
1719936577.01995,1191,0.7827519774436951
1719936628.826677,1197,1.088958501815796
1719936993.2728622,1200,1.2422984838485718
1719937063.8994389,1208,1.2899219989776611
1719937090.3703616,1211,1.1607714891433716
1719937115.5969868,1214,1.133209466934204
1719937140.771261,1217,0.9948577284812927
1719937149.4264429,1218,1.123459815979004
1719937303.2358904,1236,1.3065235614776611
1719937429.2660527,1251,1.0463788509368896
1719937554.0768547,1266,1.0096687078475952
1719937579.4802513,1269,1.3760082721710205
1719937587.9996836,1270,1.133610486984253
1719937605.0781932,1272,1.552619457244873
1719937613.6969712,1273,1.2878755331039429
1719937799.896071,1295,1.3138726949691772
1719937841.831125,1300,1.1717281341552734
1719937867.46666,1303,0.9633724689483643
1719937901.0458298,1307,1.2284973859786987
1719937917.5330484,1309,0.9880421757698059
1719937950.1158226,1313,0.9882583618164062
1719937983.4467404,1317,1.3745876550674438
1719938019.70247,1321,1.1484488248825073
1719938227.2773805,1346,1.406792163848877
1719938236.942751,1347,1.4484586715698242
1719938330.2865136,1358,1.212448239326477
1719938398.7203786,1366,1.1005953550338745
1719938406.9318247,1367,1.3163684606552124
1719938432.1557565,1370,1.1952447891235352
1719938448.239674,1372,1.2034543752670288
1719938534.6011956,1382,1.0268546342849731
1719938593.4168267,1389,1.095613956451416
1719938715.5725932,1404,0.8958389163017273
1719938724.2961051,1405,1.0268563032150269
1719938750.737897,1408,1.1300501823425293
1719938951.6334634,1432,1.067818522453308
1719938960.9394886,1433,1.0296651124954224
1719938978.684756,1435,1.0568606853485107
1719939039.5592086,1442,1.2217648029327393
1719939098.0816524,1449,1.1133869886398315
1719939106.370679,1450,1.0241895914077759
1719939179.4681835,1459,1.1150319576263428
1719939216.67672,1463,1.0338681936264038
1719939233.6634972,1465,1.1804312467575073
1719939267.4723668,1469,1.0604281425476074
1719939342.3603532,1478,0.9007925391197205
1719939399.4094086,1485,1.0740405321121216
1719939407.834855,1486,1.1099883317947388
1719939451.7042508,1491,1.2904853820800781
1719939519.287381,1499,1.438575267791748
1719939592.5731366,1508,1.2663650512695312
1719939600.8345253,1509,1.0888004302978516
1719939633.2594154,1513,1.2366453409194946
1719939676.1765754,1518,1.0828884840011597
1719939702.7036114,1521,1.259834885597229
1719939719.6673677,1523,1.395336389541626
1719939745.4207952,1526,1.0401098728179932
1719939770.1456409,1529,1.0562132596969604
1719939803.7654006,1533,1.1452065706253052
1719939868.2855854,1541,1.115871548652649
1719939936.4526832,1549,1.098004698753357
1719939970.0008097,1553,1.0119025707244873
1719939995.6210134,1556,1.0499058961868286
1719940055.363044,1563,1.029071569442749
1719940129.6640067,1572,1.1330411434173584
1719940164.8186877,1576,0.9953062534332275
1719940172.8385699,1577,1.2119232416152954
1719940181.2766273,1578,1.067481279373169
1719940199.025392,1580,1.1393554210662842
1719940225.7116861,1583,1.306692123413086
1719940285.6478715,1590,0.8140174746513367
1719940359.5355031,1599,1.0805904865264893
1719940448.3956606,1609,0.8684808015823364
1719940481.716163,1613,1.5154181718826294
1719940497.9971669,1615,1.2213762998580933
1719940522.5588825,1618,0.9491662979125977
1719940562.1132967,1623,1.262049674987793
1719940586.1180623,1626,1.1538044214248657
1719940593.8189168,1627,1.0292675495147705
1719940601.2879238,1628,1.069988489151001
1719940644.9974942,1633,0.9613536596298218
1719940766.7350276,1647,0.9970191121101379
1719940839.423311,1656,1.1044379472732544
1719940893.1798248,1662,1.1268235445022583
1719940955.102943,1669,0.8670431971549988
1719940963.3528113,1670,0.8849143385887146
1719941038.683426,1679,1.1320409774780273
1719941097.4963987,1686,0.8813706040382385
1719941201.9223938,1698,1.1507768630981445
1719941275.7800348,1707,1.097425103187561
1719941309.336606,1711,1.0671980381011963
